,K,Proportion,Error
130,0.013013013013013013,0.0,31.885090252707574
131,0.013013013013013013,0.1,31.433713420787086
132,0.013013013013013013,0.2,30.654054878048775
133,0.013013013013013013,0.3,29.655023518344308
134,0.013013013013013013,0.4,29.62371975806452
135,0.013013013013013013,0.5,30.010826771653544
136,0.013013013013013013,0.6,30.73464611872146
137,0.013013013013013013,0.7,31.33262008733625
138,0.013013013013013013,0.8,33.40908188585608
139,0.013013013013013013,0.9,34.85058252427184
140,0.014014014014014014,0.0,31.812761732851992
141,0.014014014014014014,0.1,31.35097880928355
142,0.014014014014014014,0.2,30.564715447154473
143,0.014014014014014014,0.3,29.57137347130762
144,0.014014014014014014,0.4,29.538467741935484
145,0.014014014014014014,0.5,29.915541338582678
146,0.014014014014014014,0.6,30.635251141552512
147,0.014014014014014014,0.7,31.230349344978166
148,0.014014014014014014,0.8,33.276873449131514
149,0.014014014014014014,0.9,34.705485436893206
150,0.015015015015015015,0.0,31.74244584837545
151,0.015015015015015015,0.1,31.270121089808274
152,0.015015015015015015,0.2,30.477337398373983
153,0.015015015015015015,0.3,29.489746001881468
154,0.015015015015015015,0.4,29.45576612903226
155,0.015015015015015015,0.5,29.82298228346457
156,0.015015015015015015,0.6,30.53892694063927
157,0.015015015015015015,0.7,31.13177583697234
158,0.015015015015015015,0.8,33.15004962779157
159,0.015015015015015015,0.9,34.564563106796115
160,0.016016016016016016,0.0,31.67361010830325
161,0.016016016016016016,0.1,31.19082744702321
162,0.016016016016016016,0.2,30.39141260162602
163,0.016016016016016016,0.3,29.409623706491065
164,0.016016016016016016,0.4,29.37616935483871
165,0.016016016016016016,0.5,29.73400590551181
166,0.016016016016016016,0.6,30.44654109589041
167,0.016016016016016016,0.7,31.038049490538572
168,0.016016016016016016,0.8,33.03004962779156
169,0.016016016016016016,0.9,34.42747572815534
170,0.017017017017017015,0.0,31.605965703971123
171,0.017017017017017015,0.1,31.112835519677095
172,0.017017017017017015,0.2,30.307977642276423
173,0.017017017017017015,0.3,29.331683913452494
174,0.017017017017017015,0.4,29.30077620967742
175,0.017017017017017015,0.5,29.65014763779528
176,0.017017017017017015,0.6,30.359920091324202
177,0.017017017017017015,0.7,30.949781659388645
178,0.017017017017017015,0.8,32.918511166253104
179,0.017017017017017015,0.9,34.296699029126216
180,0.018018018018018018,0.0,31.54059566787004
181,0.018018018018018018,0.1,31.037114026236125
182,0.018018018018018018,0.2,30.22685975609756
183,0.018018018018018018,0.3,29.255437441204137
184,0.018018018018018018,0.4,29.22730846774194
185,0.018018018018018018,0.5,29.570049212598423
186,0.018018018018018018,0.6,30.277545662100458
187,0.018018018018018018,0.7,30.866171761280935
188,0.018018018018018018,0.8,32.81409429280397
189,0.018018018018018018,0.9,34.176407766990295
190,0.01901901901901902,0.0,31.477066787003608
191,0.01901901901901902,0.1,30.963168516649848
192,0.01901901901901902,0.2,30.147520325203253
193,0.01901901901901902,0.3,29.182107243650044
194,0.01901901901901902,0.4,29.157137096774196
195,0.01901901901901902,0.5,29.493169291338585
196,0.01901901901901902,0.6,30.19864155251142
197,0.01901901901901902,0.7,30.786026200873362
198,0.01901901901901902,0.8,32.71171215880893
199,0.01901901901901902,0.9,34.05834951456311
200,0.02002002002002002,0.0,31.41557761732852
201,0.02002002002002002,0.1,30.89120080726539
202,0.02002002002002002,0.2,30.06948170731707
203,0.02002002002002002,0.3,29.111608654750704
204,0.02002002002002002,0.4,29.090453629032258
205,0.02002002002002002,0.5,29.419832677165356
206,0.02002002002002002,0.6,30.12382420091324
207,0.02002002002002002,0.7,30.710931586608442
208,0.02002002002002002,0.8,32.612803970223325
209,0.02002002002002002,0.9,33.94276699029126
210,0.02102102102102102,0.0,31.355505415162455
211,0.02102102102102102,0.1,30.821342078708376
212,0.02102102102102102,0.2,29.993780487804877
213,0.02102102102102102,0.3,29.042850423330197
214,0.02102102102102102,0.4,29.025524193548385
215,0.02102102102102102,0.5,29.348661417322834
216,0.02102102102102102,0.6,30.050981735159816
217,0.02102102102102102,0.7,30.63794759825328
218,0.02102102102102102,0.8,32.51660049627791
219,0.02102102102102102,0.9,33.831213592233006
220,0.022022022022022022,0.0,31.29860108303249
